date,day,type,index_future,index_option,stock_future,stock_option
2000-06-29,Thursday,monthly,True,True,True,True
2000-07-27,Thursday,monthly,True,True,True,True
2000-08-31,Thursday,monthly,True,True,True,True
2000-09-28,Thursday,monthly,True,True,True,True
2000-10-25,Wednesday,monthly,True,True,True,True
2000-11-30,Thursday,monthly,True,True,True,True
2000-12-28,Thursday,monthly,True,True,True,True
2001-01-25,Thursday,monthly,True,True,True,True
2001-02-22,Thursday,monthly,True,True,True,True
2001-03-29,Thursday,monthly,True,True,True,True
2001-04-26,Thursday,monthly,True,True,True,True
2001-05-31,Thursday,monthly,True,True,True,True
2001-06-28,Thursday,monthly,True,True,True,True
2001-07-26,Thursday,monthly,True,True,True,True
2001-08-30,Thursday,monthly,True,True,True,True
2001-09-27,Thursday,monthly,True,True,True,True
2001-10-25,Thursday,monthly,True,True,True,True
2001-11-29,Thursday,monthly,True,True,True,True
2001-12-27,Thursday,monthly,True,True,True,True
2002-01-31,Thursday,monthly,True,True,True,True
2002-02-28,Thursday,monthly,True,True,True,True
2002-03-28,Thursday,monthly,True,True,True,True
2002-04-25,Thursday,monthly,True,True,True,True
2002-05-30,Thursday,monthly,True,True,True,True
2002-06-27,Thursday,monthly,True,True,True,True
2002-07-25,Thursday,monthly,True,True,True,True
2002-08-29,Thursday,monthly,True,True,True,True
2002-09-26,Thursday,monthly,True,True,True,True
2002-10-31,Thursday,monthly,True,True,True,True
2002-11-28,Thursday,monthly,True,True,True,True
2002-12-26,Thursday,monthly,True,True,True,True
2003-01-30,Thursday,monthly,True,True,True,True
2003-02-27,Thursday,monthly,True,True,True,True
2003-03-27,Thursday,monthly,True,True,True,True
2003-04-24,Thursday,monthly,True,True,True,True
2003-05-29,Thursday,monthly,True,True,True,True
2003-06-26,Thursday,monthly,True,True,True,True
2003-07-31,Thursday,monthly,True,True,True,True
2003-08-28,Thursday,monthly,True,True,True,True
2003-09-25,Thursday,monthly,True,True,True,True
2003-10-30,Thursday,monthly,True,True,True,True
2003-11-27,Thursday,monthly,True,True,True,True
2003-12-24,Wednesday,monthly,True,True,True,True
2004-01-29,Thursday,monthly,True,True,True,True
2004-02-26,Thursday,monthly,True,True,True,True
2004-03-25,Thursday,monthly,True,True,True,True
2004-04-29,Thursday,monthly,True,True,True,True
2004-05-27,Thursday,monthly,True,True,True,True
2004-06-24,Thursday,monthly,True,True,True,True
2004-07-29,Thursday,monthly,True,True,True,True
2004-08-26,Thursday,monthly,True,True,True,True
2004-09-30,Thursday,monthly,True,True,True,True
2004-10-28,Thursday,monthly,True,True,True,True
2004-11-25,Thursday,monthly,True,True,True,True
2004-12-30,Thursday,monthly,True,True,True,True
2005-01-27,Thursday,monthly,True,True,True,True
2005-02-24,Thursday,monthly,True,True,True,True
2005-03-31,Thursday,monthly,True,True,True,True
2005-04-28,Thursday,monthly,True,True,True,True
2005-05-26,Thursday,monthly,True,True,True,True
2005-06-30,Thursday,monthly,True,True,True,True
2005-07-28,Thursday,monthly,True,True,True,True
2005-08-25,Thursday,monthly,True,True,True,True
2005-09-29,Thursday,monthly,True,True,True,True
2005-10-27,Thursday,monthly,True,True,True,True
2005-11-24,Thursday,monthly,True,True,True,True
2005-12-29,Thursday,monthly,True,True,True,True
2006-01-25,Wednesday,monthly,True,True,True,True
2006-02-23,Thursday,monthly,True,True,True,True
2006-03-30,Thursday,monthly,True,True,True,True
2006-04-27,Thursday,monthly,True,True,True,True
2006-05-25,Thursday,monthly,True,True,True,True
2006-06-29,Thursday,monthly,True,True,True,True
2006-07-27,Thursday,monthly,True,True,True,True
2006-08-31,Thursday,monthly,True,True,True,True
2006-09-28,Thursday,monthly,True,True,True,True
2006-10-26,Thursday,monthly,True,True,True,True
2006-11-30,Thursday,monthly,True,True,True,True
2006-12-28,Thursday,monthly,True,True,True,True
2007-01-25,Thursday,monthly,True,True,True,True
2007-02-22,Thursday,monthly,True,True,True,True
2007-03-29,Thursday,monthly,True,True,True,True
2007-04-26,Thursday,monthly,True,True,True,True
2007-05-31,Thursday,monthly,True,True,True,True
2007-06-28,Thursday,monthly,True,True,True,True
2007-07-26,Thursday,monthly,True,True,True,True
2007-08-30,Thursday,monthly,True,True,True,True
2007-09-27,Thursday,monthly,True,True,True,True
2007-10-25,Thursday,monthly,True,True,True,True
